ryr2;NM_001035
prkaca;NM_002730
prkaca;NM_207518
acoas;NM_015162
ldha;NM_005566
srf;NM_003131
mapk10;NM_002753
mapk10;NM_138980
mapk10;NM_138981
mapk10;NM_138982
rhokinasedia;NM_001079812
rhokinasedia;NM_005219
ephx;NM_000120
gpds;NM_000408
gpds;NM_001083112
abcd2;NM_005164
gtf3c3;NM_012086
ck1;NM_001025105
ck1;NM_001892
socs3;NM_003955
uros;NM_000375
atf4;NM_001127489
atf4;NM_001680
atf4;NM_021603
gtf3c4;NM_012204
hoxa7;NM_006896
pxr;NM_003889
pxr;NM_022002
pxr;NM_033013
map2k2;NM_030662
bmal1;NM_001030272
bmal1;NM_001030273
bmal1;NM_001178
nfkb;NM_003998
erbb3;NM_001005915
erbb3;NM_001982
rptpa;NM_002836
rptpa;NM_022575
rptpa;NM_080413
rptpa;NM_080414
rptpa;NM_080840
rptpa;NM_080841
polr;NM_000937
capn2;NM_001748
jak2;NM_004972
cdlc;NM_001037494
cdlc;NM_001037495
cdlc;NM_003746
gactin;NM_001614
adra1b;NM_000679
egr2;NM_000399
il5r;NM_000564
il5r;NM_175724
il5r;NM_175725
il5r;NM_175726
il5r;NM_175727
il5r;NM_175728
cnap1;NM_014865
tnfrsf1a;NM_001065
g2an;NM_198334
g2an;NM_198335
ac;NM_021116
ifna;NM_024013
c3;NM_000064
hgs;NM_004712
ctip;NM_002894
ctip;NM_203291
ctip;NM_203292
edg1;NM_001400
b3galt2;NM_003783
ccr2;NM_000647
ccr2;NM_000648
rhoagtp;NM_001030055
rhoagtp;NM_001173
pld1;NM_001130081
pld1;NM_002662
cd3z;NM_000734
cd3z;NM_198053
api3;NM_001167
p85;NM_181504
p85;NM_181523
p85;NM_181524
ccr1;NM_001295
btk;NM_000061
smpd1;NM_000543
smpd1;NM_001007593
tgfb1;NM_000660
rad51;NM_002875
rad51;NM_133487
f9;NM_000133
isgf3;NM_006084
dnm1;NM_001005336
dnm1;NM_004408
il12p35;NM_000882
cyp2j2;NM_000775
pfkl;NM_001002021
pfkl;NM_002626
matr3;NM_018834
matr3;NM_199189
msp;NM_020998
rhoa;NM_001664
ephb1;NM_004441
cd11a;NM_001114380
cd11a;NM_002209
il2;NM_000586
nrf2;NM_006164
mapk11;NM_002751
me;NM_002395
endog;NM_004435
1433;NM_003405
baf53a;NM_004301
baf53a;NM_177989
baf53a;NM_178042
keap1;NM_012289
keap1;NM_203500
mbd3;NM_003926
bid;NM_001196
bid;NM_197966
bid;NM_197967
atm;NM_000051
atm;NM_002519
atm;NM_138292
xrcc5;NM_021141
parp;NM_001618
ctsd;NM_001909
vinculin;NM_003373
vinculin;NM_014000
eif2bk;NM_003907
cdkn1b;NM_004064
cyp4a11;NM_000778
ctbp;NM_001012614
ctbp;NM_001328
f11;NM_000128
c4b;NM_000592
c4b;NM_001002029
p300;NM_001429
rab7;NM_004637
htatip;NM_006388
htatip;NM_182709
htatip;NM_182710
eif2c1;NM_012199
smarcc2;NM_001130420
smarcc2;NM_003075
smarcc2;NM_139067
madh1;NM_001003688
madh1;NM_005900
guk;NM_000858
smarcd1;NM_003076
smarcd1;NM_139071
sumo1;NM_001005781
sumo1;NM_001005782
sumo1;NM_003352
achb;NM_000747
fodrin;NM_001130438
fodrin;NM_003127
igf1;NM_000618
igf1;NM_001111283
igf1;NM_001111284
igf1;NM_001111285
il11;NM_000641
gelsolin;NM_000177
gelsolin;NM_001127662
gelsolin;NM_001127663
gelsolin;NM_001127664
gelsolin;NM_001127665
gelsolin;NM_001127666
gelsolin;NM_001127667
gelsolin;NM_198252
big1;NM_006421
agt;NM_000029
igfbp6;NM_002178
rb1;NM_000321
mef2c;NM_001131005
mef2c;NM_002397
cyca;NM_001111045
cyca;NM_001111046
cyca;NM_001111047
cyca;NM_003914
gria2;NM_000826
gria2;NM_001083619
gria2;NM_001083620
abi2;NM_005759
sphk1;NM_021972
sphk1;NM_182965
nos2a;NM_000625
apoer2;NM_001018054
apoer2;NM_004631
apoer2;NM_017522
apoer2;NM_033300
pten;NM_000314
tlr10;NM_001017388
tlr10;NM_030956
grasp;NM_181711
cct4;NM_006430
hmg2;NM_001130688
hmg2;NM_001130689
hmg2;NM_002129
cth;NM_001902
cth;NM_153742
fibrinogen;NM_000508
fibrinogen;NM_021871
btrc;NM_003939
btrc;NM_033637
ugcgl1;NM_001025777
ugcgl1;NM_020120
ifnr1;NM_000629
mmp9;NM_004994
camk4;NM_001744
pkac;NM_002730
pkac;NM_207518
ankyrin;NM_001149
ankyrin;NM_020987
c1s;NM_001734
c1s;NM_201442
dab1;NM_021080
hsp90;NM_001017963
hsp90;NM_005348
caspase9;NM_001229
caspase9;NM_032996
max;NM_002382
max;NM_145112
max;NM_145113
max;NM_145114
max;NM_145116
max;NM_197957
vcam1;NM_001078
vcam1;NM_080682
gnas;NM_000516
gnas;NM_001077488
gnas;NM_001077489
gnas;NM_001077490
gnas;NM_016592
gnas;NM_080425
gnas;NM_080426
map3k12;NM_006301
sec61a1;NM_013336
faah;NM_001441
rac1;NM_006908
rac1;NM_018890
rac1;NM_198829
ring1;NM_002931
plk1;NM_005030
il5;NM_000879
pgk1;NM_000291
tub;NM_003320
tub;NM_177972
tuba;NM_015221
sos;NM_005633
rea;NM_007273
rb1cc1;NM_001083617
rb1cc1;NM_014781
eef2;NM_001961
plcb;NM_015192
plcb;NM_182734
igfbp2;NM_000597
chk2;NM_001005735
chk2;NM_007194
chk2;NM_145862
tau;NM_001123066
tau;NM_001123067
tau;NM_005910
tau;NM_016834
tau;NM_016835
tau;NM_016841
prr;NM_002855
prr;NM_203285
prr;NM_203286
cyp3a4;NM_017460
cyp3a4;NM_022820
cyp3a4;NM_057095
cyp3a4;NM_057096
hmbs;NM_000190
hmbs;NM_001024382
